League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Bosnia & Herzegovina U19 Liga;Bosnia;25,0;24,0;3,24;0,61;0,15;1,0;1,28;2,12;1,12;0,65;0,64;0,36;2,0;0,5;0,0;0,0;0,25;0,5;0,86;0,64;0,64
Syria Division 1;Syria;25,0;25,0;2,92;0,67;0,14;0,28;0,96;1,6;1,32;0,55;0,64;0,36;4,0;0,75;0,0;0,0;0,38;0,7;0,75;0,64;0,64
Northern Ireland County Antrim Shield;North Ireland;24,0;24,0;3,29;0,49;0,16;0,62;1,69;1,96;1,33;0,59;0,54;0,46;6,0;0,67;4,0;0,5;0,58;0,54;0,29;0,54;0,56
Spain Primera Division RFEF Play-Offs;Spain;24,0;24,0;2,42;0,64;0,13;0,17;0,86;1,29;1,12;0,53;0,58;0,42;1,0;1,0;0,0;0,0;0,5;0,29;0,69;0,58;0,58
Netherlands Youth Eredivisie;Netherlands;24,0;24,0;3,54;0,51;0,14;0,46;1,72;2,0;1,54;0,56;0,71;0,29;4,0;0,75;2,0;1,0;0,88;0,5;0,75;0,71;0,71
Brazil Campeonato Catarinense U20;Brazil;24,0;24,0;3,83;0,51;0,17;0,42;1,86;2,12;1,71;0,55;0,62;0,38;4,0;1,0;1,0;1,0;1,0;0,5;0,55;0,62;0,62
Austria Cup Women;Austria;24,0;24,0;3,0;0,51;0,14;0,25;1,47;1,62;1,38;0,54;0,38;0,62;6,0;0,33;8,0;0,38;0,35;0,38;0,33;0,38;0,31
Sweden 2.div Södra Svealand;Sweden;24,0;24,0;3,75;0,53;0,18;0,0;1,74;1,88;1,88;0,5;0,67;0,33;1,0;1,0;0,0;0,0;0,5;0,6;0,7;0,67;0,67
Malawi Challenge Cup;Malawi;24,0;24,0;2,21;0,77;0,11;0,21;0,51;1,0;1,21;0,45;0,38;0,62;4,0;0,0;2,0;0,0;0,0;0,33;0,5;0,17;0,38
Zambia Cup;Zambia;24,0;24,0;2,12;0,76;0,09;0,38;0,5;1,25;0,88;0,59;0,38;0,62;6,0;0,17;1,0;0,0;0,08;0,67;0,33;0,38;0,38
Brazil Paraense;Brazil;24,0;24,0;1,96;0,65;0,09;0,54;0,69;1,25;0,71;0,64;0,42;0,58;6,0;0,33;0,0;0,0;0,17;0,42;0,5;0,42;0,42
Brazil Copa Sul U20;Brazil;24,0;24,0;2,5;0,83;0,12;0,33;0,41;1,42;1,08;0,57;0,42;0,58;2,0;0,5;0,0;0,0;0,25;0,33;0,43;0,42;0,42
Algeria Cup Women;Algeria;23,0;23,0;2,91;0,56;0,15;0,91;1,29;1,91;1,0;0,66;0,35;0,65;7,0;0,14;3,0;0,33;0,24;0,35;0,44;0,35;0,2
Mauritania Cup;Mauritania;23,0;23,0;2,48;0,72;0,09;0,22;0,7;1,35;1,13;0,54;0,48;0,52;6,0;0,5;0,0;0,0;0,25;0,56;0,38;0,5;0,48
Greece U19 Cup;Greece;23,0;23,0;2,43;0,76;0,13;0,61;0,58;1,52;0,91;0,62;0,35;0,65;8,0;0,5;4,0;0,25;0,38;0,35;0,35;0,35;0,36
Turkey 3. Lig Promotion Group Play-Offs;Turkey;23,0;23,0;2,22;0,53;0,11;0,3;1,05;0,96;1,26;0,43;0,43;0,57;1,0;1,0;0,0;0,0;0,5;0,6;0,36;0,43;0,43
Iceland Lower League Cup;Iceland;23,0;23,0;4,3;0,35;0,16;1,0;2,78;2,65;1,65;0,62;0,83;0,17;2,0;1,0;2,0;1,0;1,0;0,83;0,79;0,83;0,83
Belgium Cup Women;Belgium;23,0;23,0;3,39;0,68;0,16;0,09;1,08;1,74;1,65;0,51;0,52;0,48;9,0;0,78;4,0;0,25;0,51;0,52;0,52;0,52;0,55
Jordan League Women;Jordan;23,0;23,0;4,61;1,01;0,21;1,04;-0,03;2,83;1,78;0,61;0,57;0,43;6,0;0,5;6,0;0,83;0,67;0,57;0,43;0,67;0,67
CONCACAF Gold Cup Women;International (North & Central America);23,0;23,0;3,26;0,65;0,16;0,22;1,15;1,74;1,52;0,53;0,22;0,78;12,0;0,33;5,0;0,0;0,17;0,22;0,22;0,22;0,2
Aruba Cup;Aruba;23,0;23,0;3,91;0,58;0,21;0,43;1,66;1,74;2,17;0,44;0,52;0,48;4,0;0,75;6,0;0,5;0,62;0,52;0,5;0,52;0,57
Bhutan Premier League Qualifiers;Bhutan;23,0;23,0;3,91;0,7;0,13;0,09;1,18;1,91;2,0;0,49;0,52;0,48;4,0;0,75;5,0;0,2;0,48;0,52;0,78;0,52;0,33
Brazil Copa Nordeste U20;Brazil;23,0;23,0;2,43;0,76;0,1;1,3;0,58;1,87;0,57;0,77;0,35;0,65;13,0;0,23;0,0;0,0;0,12;0,35;0,35;0,29;0,29
Finland U21 League;Finland;23,0;23,0;4,17;0,59;0,18;0,0;1,73;2,09;2,09;0,5;0,61;0,39;3,0;0,33;2,0;1,0;0,67;0,61;0,61;0,61;0,61
Portugal U23 Cup;Portugal;23,0;23,0;3,09;0,59;0,15;0,74;1,26;1,91;1,17;0,62;0,52;0,48;2,0;0,0;0,0;0,0;0,0;0,62;0,58;0,52;0,52
Qatar Second Division Cup;Qatar;23,0;23,0;2,35;0,7;0,15;0,09;0,71;1,13;1,22;0,48;0,48;0,52;0,0;0,0;0,0;0,0;0,0;0,55;0,36;0,48;0,48
Poland Regional League;Poland;22,0;22,0;4,5;0,49;0,99;0,95;2,3;2,73;1,77;0,61;0,68;0,32;4,0;0,75;0,0;0,0;0,38;0,68;1,0;0,68;0,68
African Nations C'ship Qualifying;International (Africa);22,0;22,0;1,95;0,53;0,12;0,68;0,91;1,32;0,64;0,67;0,27;0,73;6,0;0,33;2,0;0,5;0,42;0,27;0,33;0,27;0,27
Youth International;International (World);22,0;22,0;2,59;0,74;0,13;0,05;0,67;1,32;1,27;0,51;0,5;0,5;7,0;0,86;1,0;1,0;0,93;0,33;0,29;0,75;0,5
Brazil Campeonato Carioca B1 U20;Brazil;22,0;22,0;3,82;0,45;0,15;0,55;2,11;2,18;1,64;0,57;0,73;0,27;2,0;0,5;0,0;0,0;0,25;0,8;0,75;0,73;0,73
Canada Northern Super League Women;Canada;22,0;22,0;2,77;0,58;0,14;1,05;1,17;1,91;0,86;0,69;0,5;0,5;2,0;0,5;1,0;1,0;0,75;0,5;0,55;0,5;0,5
Sweden Cup Qualification;Sweden;22,0;22,0;3,0;0,6;0,16;1,18;1,2;0,91;2,09;0,3;0,41;0,59;1,0;0,0;10,0;0,2;0,1;0,41;0,41;0,62;0,12
Burkina Faso Cup;Burkina Faso;22,0;22,0;1,36;0,83;0,1;0,18;0,23;0,59;0,77;0,43;0,32;0,68;2,0;1,0;1,0;1,0;1,0;0,36;0,32;0,32;0,32
Oman Professional League Cup;Oman;22,0;22,0;2,18;0,69;0,15;0,64;0,68;1,41;0,77;0,65;0,32;0,68;5,0;0,4;1,0;0,0;0,2;0,32;0,36;0,32;0,32
Greece Cup Women;Greece;22,0;22,0;2,32;0,77;0,12;0,86;0,54;0,73;1,59;0,31;0,45;0,55;3,0;0,67;5,0;0,4;0,53;0,45;0,44;0,45;0,43
Zambia Division 1;Zambia;21,0;21,0;2,29;0,64;0,12;0,0;0,83;1,14;1,14;0,5;0,62;0,38;1,0;0,0;0,0;0,0;0,0;0,71;1,0;0,62;0,62
India Championship Women;India;21,0;21,0;3,71;0,61;0,15;0,0;1,45;1,86;1,86;0,5;0,43;0,57;5,0;0,4;2,0;1,0;0,7;0,43;0,5;0,43;0,5
Israel Liga Bet Play-Offs;Israel;21,0;21,0;2,9;0,64;0,13;0,05;1,04;1,48;1,43;0,51;0,57;0,43;1,0;1,0;0,0;0,0;0,5;0,56;0,5;0,57;0,57
Germany Bundesliga U19;Germany;21,0;20,0;4,48;0,46;0,98;0,76;2,41;2,62;1,86;0,59;0,81;0,19;6,0;0,5;0,0;0,0;0,25;0,81;0,81;0,81;0,5
Brazil Campeonato Pernambucano U20;Brazil;21,0;21,0;3,14;0,65;0,13;0,95;1,09;2,05;1,1;0,65;0,38;0,62;6,0;0,33;2,0;0,5;0,42;0,38;0,17;0,38;0,14
Mali Cup;Mali;21,0;21,0;2,1;0,66;0,14;0,57;0,72;1,33;0,76;0,64;0,38;0,62;8,0;0,38;1,0;0,0;0,19;0,5;0,38;0,38;0,38
Ethiopia Higher League Women;Ethiopia;21,0;21,0;2,38;0,77;0,13;0,57;0,55;0,9;1,48;0,38;0,48;0,52;2,0;0,0;3,0;0,33;0,17;0,48;0,48;0,48;0,48
Northern Ireland Premier Intermediate League;North Ireland;21,0;21,0;3,0;0,62;0,16;0,9;1,13;1,95;1,05;0,65;0,62;0,38;2,0;0,5;0,0;0,0;0,25;0,7;0,62;0,62;0,62
Aruba Play-offs;Aruba;21,0;21,0;5,1;0,4;0,27;1,19;3,07;3,14;1,95;0,62;0,86;0,14;7,0;0,71;2,0;0,5;0,61;1,0;0,86;0,86;0,62
Malaysia Challenge Cup;Malaysia;21,0;21,0;2,67;0,79;0,13;0,1;0,56;1,38;1,29;0,52;0,38;0,62;7,0;0,29;2,0;0,0;0,14;0,38;0,38;0,17;0,17
Australia Tasmania NPL U21 League;Australia;21,0;21,0;4,14;0,54;0,23;0,71;1,9;2,43;1,71;0,59;0,62;0,38;6,0;0,5;1,0;0,0;0,25;0,62;0,62;0,88;0,62
Iraq U21 League;Iraq;20,0;20,0;3,9;0,54;0,25;0,3;1,77;1,8;2,1;0,46;0,7;0,3;2,0;1,0;0,0;0,0;0,5;0,67;0,7;0,7;0,7
Malawi League Cup;Malawi;20,0;20,0;2,5;0,57;0,14;0,7;1,07;0,9;1,6;0,36;0,55;0,45;3,0;0,67;3,0;0,67;0,67;0,57;0,43;0,55;0,55
Argentina Torneo Promocional Amateur;Argentina;20,0;20,0;2,25;0,67;0,11;0,35;0,73;1,3;0,95;0,58;0,35;0,65;1,0;0,0;0,0;0,0;0,0;0,4;0,25;0,35;0,35
Argentina Regional Cup;Argentina;20,0;20,0;2,8;0,56;0,1;0,9;1,22;1,85;0,95;0,66;0,4;0,6;1,0;0,0;1,0;1,0;0,5;0,57;0,33;0,4;0,4
German Bundesliga Women;Germany;20,0;20,0;3,35;0,48;0,16;0,75;1,75;2,05;1,3;0,61;0,45;0,55;6,0;0,33;4,0;0,5;0,42;0,45;0,5;0,45;0,33
Brazil Campeonato Mineiro 3;Brazil;20,0;20,0;3,0;0,36;0,12;0,4;1,92;1,7;1,3;0,57;0,65;0,35;5,0;0,6;3,0;0,67;0,63;0,65;0,67;0,65;0,65
Brazil Campeonato Sergipano A3;Brazil;20,0;20,0;2,85;0,51;0,12;1,35;1,39;2,1;0,75;0,74;0,55;0,45;3,0;0,67;2,0;0,5;0,58;0,67;0,71;0,55;0,55
Brazil Campeonato Piauiense;Brazil;20,0;20,0;2,1;0,72;0,09;0,3;0,58;1,2;0,9;0,57;0,35;0,65;4,0;0,25;0,0;0,0;0,12;0,5;0,33;0,35;0,35
Danish Womens 1.Division;Denmark;19,0;19,0;3,63;0,61;0,15;0,26;1,42;1,95;1,68;0,54;0,58;0,42;4,0;0,25;4,0;1,0;0,62;0,58;0,58;0,58;0,58
Malaysia National League Women;Malaysia;19,0;19,0;4,05;0,6;0,21;0,68;1,64;1,68;2,37;0,42;0,58;0,42;5,0;0,6;4,0;0,75;0,68;0,58;0,58;0,58;0,62
Brazil Copa Sergipe;Brazil;19,0;19,0;2,74;0,56;0,12;0,63;1,22;1,68;1,05;0,62;0,47;0,53;5,0;0,4;0,0;0,0;0,2;0,56;0,47;0,47;0,47
Brazil Copa Centro-Oeste;Brazil;19,0;19,0;2,42;0,71;0,11;0,21;0,71;1,32;1,11;0,54;0,58;0,42;4,0;0,5;0,0;0,0;0,25;0,58;0,5;0,58;0,58
Malta Challenge League Cup;Malta;19,0;19,0;2,95;0,63;0,15;0,63;1,08;1,16;1,79;0,39;0,47;0,53;2,0;0,0;2,0;0,5;0,25;0,62;0,47;0,47;0,47
Hungary Cup Women;Hungary;19,0;19,0;3,63;0,64;0,17;0,89;1,29;2,26;1,37;0,62;0,47;0,53;4,0;0,5;5,0;0,6;0,55;0,47;0,47;0,47;0,33
Poland Regional Cup;Poland;19,0;19,0;4,89;0,61;0,38;1,74;1,9;1,58;3,32;0,32;0,58;0,42;1,0;1,0;8,0;0,5;0,75;0,58;0,5;0,86;0,33
Hong Kong Cup;Hong Kong;19,0;19,0;3,11;0,5;0,15;0,05;1,55;1,53;1,58;0,49;0,74;0,26;4,0;0,5;3,0;1,0;0,75;0,74;0,74;0,62;0,74
Taiwan Cup;Taiwan;19,0;19,0;4,68;0,65;0,19;1,42;1,63;3,05;1,63;0,65;0,53;0,47;7,0;0,43;2,0;0,5;0,46;0,53;0,53;0,53;0,57
Iraq Premier League;Iraq;19,0;19,0;2,84;0,87;0,16;0,11;0,36;1,47;1,37;0,52;0,53;0,47;2,0;1,0;0,0;0,0;0,5;0,5;0,67;0,53;0,53
North Macedonia League Women;North Macedonia;19,0;19,0;3,16;0,85;0,12;0,63;0,49;1,89;1,26;0,6;0,32;0,68;9,0;0,56;5,0;0,4;0,48;0,32;0,32;0,32;0,33
Denmark Danmarksserien Relegation;Denmark;19,0;19,0;3,68;0,55;0,17;0,53;1,66;2,11;1,58;0,57;0,74;0,26;1,0;1,0;0,0;0,0;0,5;0,75;0,7;0,74;0,74
Brazil Campeonato Cearense B;Brazil;19,0;19,0;2,05;0,87;0,1;0,05;0,27;1,0;1,05;0,49;0,32;0,68;3,0;0,33;1,0;1,0;0,67;0,5;0,17;0,32;0,32
Vietnam U19 Championship Women;Vietnam;18,0;18,0;2,44;0,63;0,14;0,22;0,9;1,11;1,33;0,45;0,44;0,56;3,0;0,67;2,0;0,0;0,33;0,44;0,44;0,44;0,44
Brazil Copa Rio Women;Brazil;18,0;18,0;2,72;0,5;0,13;0,5;1,36;1,61;1,11;0,59;0,44;0,56;3,0;0,0;1,0;0,0;0,0;0,44;0,57;0,44;0,44
Brazil Copa Norte;Brazil;18,0;18,0;3,33;0,45;0,17;0,44;1,84;1,89;1,44;0,57;0,61;0,39;2,0;0,5;0,0;0,0;0,25;0,61;0,67;0,61;0,61
U20 International Women;International (World);18,0;18,0;3,56;0,55;0,17;1,78;1,61;2,67;0,89;0,75;0,39;0,61;5,0;0,2;2,0;0,0;0,1;0,39;0,39;0,39;0,0
Saudi Arabia Reserve League;Saudi Arabia;18,0;18,0;2,56;0,67;0,16;0,11;0,83;1,22;1,33;0,48;0,39;0,61;2,0;0,5;3,0;1,0;0,75;0,39;0,29;0,39;0,39
Bulgaria Premier League Women;Bulgaria;18,0;18,0;3,44;0,7;0,19;0,78;1,04;1,33;2,11;0,39;0,28;0,72;4,0;0,5;5,0;0,0;0,25;0,28;0,28;0,28;0,25
Hong Kong Senior Shield;Hong Kong;18,0;18,0;3,22;0,46;0,15;0,78;1,74;2,0;1,22;0,62;0,67;0,33;6,0;0,67;1,0;1,0;0,83;0,67;0,67;0,67;0,67
South Africa Supa 8 Cup;South Africa;18,0;18,0;2,22;0,65;0,12;0,78;0,79;1,5;0,72;0,67;0,5;0,5;4,0;0,25;0,0;0,0;0,12;0,5;0,6;0,5;0,5
North Macedonia U19 League;North Macedonia;18,0;18,0;4,39;0,56;0,18;0,17;1,91;2,11;2,28;0,48;0,61;0,39;2,0;0,5;4,0;0,5;0,5;0,61;0,67;0,61;0,61
Ivory Coast Cup;Ivory Coast;18,0;17,0;2,28;0,72;0,1;0,06;0,64;1,11;1,17;0,49;0,39;0,61;4,0;0,75;2,0;0,5;0,62;0,39;0,33;0,5;0,39
Euro Championships Women;International (Europe);18,0;18,0;3,22;0,61;0,12;0,78;1,27;2,0;1,22;0,62;0,5;0,5;6,0;0,67;5,0;0,2;0,43;0,5;0,5;0,5;0,33
Germany U19 Cup;Germany;18,0;17,0;3,56;0,47;0,17;0,22;1,87;1,67;1,89;0,47;0,67;0,33;2,0;1,0;0,0;0,0;0,5;0,67;0,58;0,67;0,67
Lebanon Cup;Lebanon;18,0;18,0;2,61;0,6;0,17;0,17;1,03;1,39;1,22;0,53;0,5;0,5;5,0;0,6;2,0;0,0;0,3;0,5;0,5;0,5;0,5
AFC Cup;International (Asia);18,0;18,0;2,5;0,62;0,13;0,72;0,96;1,61;0,89;0,64;0,39;0,61;5,0;0,0;1,0;1,0;0,5;0,39;0,57;0,39;0,39
Uganda Cup Women;Uganda;18,0;18,0;2,0;0,84;0,08;0,44;0,32;1,22;0,78;0,61;0,44;0,56;5,0;0,6;0,0;0,0;0,3;0,44;0,44;0,44;0,44
Malawi Top 8 Cup;Malawi;18,0;18,0;1,89;0,79;0,11;0,44;0,4;1,17;0,72;0,62;0,33;0,67;5,0;0,2;1,0;1,0;0,6;0,33;0,43;0,33;0,33
Denmark Series Group 3;Denmark;17,0;17,0;4,59;0,47;0,18;1,06;2,44;1,76;2,82;0,38;0,82;0,18;0,0;0,0;0,0;0,0;0,0;0,67;1,0;0,82;0,82
Kosovo Division 1;Kosovo;17,0;17,0;2,18;0,44;0,11;0,88;1,23;1,53;0,65;0,7;0,47;0,53;4,0;0,0;0,0;0,0;0,0;0,47;0,17;0,47;0,47
Cameroon Elite Two;Cameroon;17,0;17,0;2,35;0,81;0,11;0,0;0,45;1,18;1,18;0,5;0,29;0,71;1,0;0,0;0,0;0,0;0,0;0,17;0,44;0,29;0,29
Faroe Islands League Women;Faroe Islands;17,0;17,0;4,35;0,41;0,15;0,24;2,59;2,06;2,29;0,47;0,53;0,47;4,0;0,75;4,0;0,0;0,38;0,53;0,71;0,53;0,43
Scotland Reserve Cup;Scotland;17,0;17,0;4,24;0,56;0,16;0,71;1,88;2,47;1,76;0,58;0,71;0,29;3,0;0,33;1,0;1,0;0,67;0,57;0,71;0,71;0,71
Nicaragua Liga de Ascenso;Nicaragua;17,0;17,0;3,94;0,66;0,2;0,18;1,33;1,88;2,06;0,48;0,59;0,41;2,0;0,0;4,0;0,75;0,38;0,59;0,59;0,59;0,59
Gibraltar Cup;Gibraltar;17,0;17,0;3,59;0,62;0,18;0,29;1,35;1,94;1,65;0,54;0,35;0,65;5,0;0,4;3,0;0,0;0,2;0,35;0,5;0,35;0,14
Brazil Gaucho Women;Brazil;17,0;17,0;2,41;0,7;0,1;0,88;0,71;1,65;0,76;0,68;0,18;0,82;7,0;0,14;3,0;0,0;0,07;0,18;0,18;0,18;0,0
Italy Serie A Cup Women;Italy;17,0;17,0;2,82;0,49;0,14;0,12;1,44;1,47;1,35;0,52;0,59;0,41;4,0;1,0;3,0;0,67;0,83;0,59;0,59;0,57;0,59
Brazil Campeonato Paraense U20;Brazil;17,0;17,0;3,35;0,42;0,13;1,0;1,94;2,18;1,18;0,65;0,59;0,41;4,0;0,75;1,0;1,0;0,88;0,59;0,59;0,59;0,59
Brazil Campeonato Potiguar U20;Brazil;17,0;17,0;3,06;0,83;0,11;0,35;0,52;1,71;1,35;0,56;0,24;0,76;4,0;0,25;2,0;0,0;0,12;0,24;0,24;0,24;0,24
Croatia U19 Cup;Croatia;17,0;17,0;3,06;0,58;0,13;0,12;1,27;1,47;1,59;0,48;0,65;0,35;3,0;0,33;0,0;0,0;0,17;0,65;0,65;0,75;0,65
Spain Regional Cup;Spain;17,0;17,0;2,65;0,78;0,14;0,41;0,59;1,53;1,12;0,58;0,53;0,47;2,0;0,5;0,0;0,0;0,25;0,53;0,5;0,53;0,53
Republic of Ireland Munster Senior Cup;Ireland;17,0;17,0;2,94;0,71;0,15;0,59;0,87;1,76;1,18;0,6;0,53;0,47;4,0;0,25;2,0;0,5;0,38;0,53;0,53;0,5;0,53
Indonesia Liga 2;Indonesia;17,0;17,0;3,0;0,61;0,14;0,29;1,16;1,65;1,35;0,55;0,41;0,59;2,0;0,5;0,0;0,0;0,25;0,33;0,5;0,41;0,41
Portugal League Cup;Portugal;17,0;17,0;3,0;0,44;0,12;1,24;1,68;2,12;0,88;0,71;0,59;0,41;10,0;0,6;1,0;1,0;0,8;0,59;0,59;0,59;0,57
India Karnataka League Women;India;17,0;17,0;3,18;0,62;0,14;0,82;1,2;1,18;2,0;0,37;0,41;0,59;5,0;0,6;5,0;0,4;0,5;0,41;0,41;0,41;0,44
Philippines UAAP;Philippines;17,0;17,0;2,47;0,57;0,08;0,94;1,05;0,76;1,71;0,31;0,53;0,47;1,0;1,0;5,0;0,2;0,6;0,53;0,53;0,53;0,53
COSAFA Champions League Women;International (Africa);16,0;16,0;3,75;0,73;0,14;1,5;1,01;2,62;1,12;0,7;0,44;0,56;9,0;0,56;1,0;1,0;0,78;0,44;0,44;0,44;0,62
Ghana Super Cup;Ghana;16,0;16,0;2,38;0,84;0,12;0,25;0,38;1,06;1,31;0,45;0,44;0,56;0,0;0,0;0,0;0,0;0,0;0,44;0,43;0,44;0,44
Scotland Lowland League Cup;Scotland;16,0;16,0;3,81;0,27;0,17;1,06;2,77;2,44;1,38;0,64;0,75;0,25;2,0;0,0;3,0;1,0;0,5;0,75;0,75;0,71;0,75
Tajikistan Vysshaya Liga;Tajikistan;16,0;16,0;3,38;0,72;0,17;0,5;0,93;1,94;1,44;0,57;0,62;0,38;6,0;0,67;1,0;1,0;0,83;0,5;0,62;0,62;0,62
African Games;International (Africa);16,0;16,0;1,88;0,97;0,12;0,5;0,05;1,19;0,69;0,63;0,31;0,69;1,0;0,0;1,0;0,0;0,0;0,5;0,25;0,31;0,31
Hungary NBII Women;Hungary;16,0;16,0;3,56;0,49;0,15;0,19;1,81;1,88;1,69;0,53;0,5;0,5;2,0;0,5;2,0;0,0;0,25;0,5;0,5;0,5;0,5
Gulf Club Championships;International (North & Central America);16,0;16,0;1,69;0,64;0,1;0,19;0,61;0,75;0,94;0,44;0,44;0,56;2,0;1,0;2,0;0,0;0,5;0,44;0,44;0,44;0,44
New Zealand Cup Women;New Zealand;16,0;16,0;3,62;0,59;0,17;0,5;1,47;1,56;2,06;0,43;0,56;0,44;3,0;1,0;3,0;1,0;1,0;0,56;0,0;0,56;0,56
Saudi Arabia Premier League Women;Saudi Arabia;16,0;16,0;4,5;0,53;0,22;0,12;2,11;2,19;2,31;0,49;0,69;0,31;3,0;0,33;5,0;0,8;0,57;0,69;0,69;0,69;0,69
India Guwahati Premier League;India;15,0;15,0;3,4;0,63;0,12;1,0;1,27;1,2;2,2;0,35;0,53;0,47;0,0;0,0;1,0;1,0;0,5;0,67;0,5;0,53;0,53
Gulf Cup;International (North & Central America);15,0;15,0;2,73;0,45;0,13;0,07;1,51;1,4;1,33;0,51;0,8;0,2;1,0;0,0;1,0;1,0;0,5;0,8;0,83;0,8;0,8
Uruguay Copa de la Liga;Uruguay;15,0;13,0;1,93;0,77;0,18;0,07;0,45;1,0;0,93;0,52;0,47;0,53;0,0;0,0;2,0;1,0;0,5;0,47;0,4;0,47;0,47
Brazil Supercopa Women;Brazil;15,0;15,0;2,2;0,79;0,09;0,6;0,46;0,8;1,4;0,36;0,27;0,73;3,0;0,0;4,0;0,25;0,12;0,27;0,27;0,29;0,27
Burkina Faso League 2;Burkina Faso;15,0;15,0;1,6;0,52;0,15;0,67;0,77;1,13;0,47;0,71;0,27;0,73;0,0;0,0;0,0;0,0;0,0;0,29;0,27;0,27;0,27
European U19 Championship;International (Europe);15,0;15,0;4,0;0,57;0,18;0,4;1,73;1,8;2,2;0,45;0,53;0,47;2,0;0,5;2,0;0,5;0,5;0,53;0,57;0,53;0,53
Estonia Cup Women;Estonia;15,0;15,0;3,8;0,62;0,16;0,6;1,43;2,2;1,6;0,58;0,53;0,47;6,0;0,17;5,0;1,0;0,58;0,53;0,53;0,53;0,44
Brazil Campeonato Paranaense 3;Brazil;15,0;15,0;2,67;0,56;0,14;0,27;1,17;1,47;1,2;0,55;0,73;0,27;0,0;0,0;0,0;0,0;0,0;0,73;0,62;0,73;0,73
Liberia FA Cup;Liberia;15,0;15,0;2,87;0,45;0,14;0,2;1,56;1,53;1,33;0,53;0,87;0,13;3,0;1,0;2,0;1,0;1,0;0,87;0,71;0,87;0,87
Hong Kong Women Premier League;Hong Kong;15,0;15,0;2,33;0,53;0,13;0,07;1,1;1,13;1,2;0,49;0,27;0,73;5,0;0,2;5,0;0,4;0,3;0,27;0,27;0,27;0,22
Scotland Championship Play-Offs;Scotland;15,0;15,0;2,33;0,75;0,11;0,07;0,57;1,2;1,13;0,51;0,6;0,4;1,0;1,0;0,0;0,0;0,5;0,57;0,67;0,6;0,6
Brazil Copa Alagoas U20;Brazil;15,0;15,0;2,6;0,71;0,14;0,47;0,76;1,53;1,07;0,59;0,47;0,53;5,0;0,6;5,0;0,6;0,6;0,47;0,47;0,47;0,56
Spanish Copa de Catalunya Women;Spain;15,0;15,0;3,0;0,69;0,16;0,6;0,93;1,2;1,8;0,4;0,4;0,6;1,0;0,0;6,0;0,33;0,17;0,4;0,4;0,4;0,29
U19 Euro Championships Women;International (Europe);15,0;15,0;2,8;0,62;0,14;0,8;1,06;1,0;1,8;0,36;0,33;0,67;4,0;0,25;3,0;0,33;0,29;0,33;0,33;0,33;0,33
Brazil Campeonato Capixaba U20;Brazil;15,0;15,0;3,93;0,68;0,15;0,2;1,28;1,87;2,07;0,47;0,6;0,4;4,0;0,5;4,0;0,75;0,62;0,6;0,6;0,6;0,67
Brazil Campeonato Carioca Women;Brazil;15,0;15,0;2,8;0,47;0,15;0,67;1,48;1,73;1,07;0,62;0,6;0,4;5,0;0,6;2,0;1,0;0,8;0,6;0,6;0,6;0,67
Qatar Emir Cup;Qatar;15,0;15,0;3,6;0,66;0,18;0,4;1,22;2,0;1,6;0,56;0,47;0,53;2,0;0,5;0,0;0,0;0,25;0,47;0,38;0,47;0,47
UEFA Regions Cup;International (Europe);15,0;15,0;2,07;0,72;0,09;0,6;0,58;0,73;1,33;0,35;0,47;0,53;0,0;0,0;2,0;0,0;0,0;0,67;0,43;0,47;0,47
Finland Kakkonnen Play-Offs;Finland;15,0;15,0;3,0;0,5;0,14;0,87;1,49;1,93;1,07;0,64;0,53;0,47;4,0;0,25;1,0;1,0;0,62;0,53;0,5;0,53;0,53
Brazil Campeonato Pernambucano A2;Brazil;15,0;15,0;2,73;0,51;0,12;1,13;1,35;1,93;0,8;0,71;0,67;0,33;6,0;0,5;0,0;0,0;0,25;0,67;0,67;0,75;0,67
Scotland League One Play-Offs;Scotland;14,0;14,0;3,21;0,53;0,16;0,07;1,5;1,64;1,57;0,51;0,71;0,29;1,0;0,0;0,0;0,0;0,0;0,78;0,71;0,71;0,71
Botswana FA Cup;Botswana;14,0;14,0;1,36;0,85;0,06;0,07;0,21;0,64;0,71;0,47;0,43;0,57;4,0;0,75;1,0;0,0;0,38;0,43;0,43;0,43;0,43
India U21 Development League;India;14,0;14,0;2,5;0,83;0,1;0,36;0,43;1,43;1,07;0,57;0,36;0,64;2,0;0,5;1,0;0,0;0,25;0,36;0,43;0,36;0,36
Campeonato Roraimense;Brazil;14,0;14,0;3,64;0,41;0,22;0,36;2,14;2,0;1,64;0,55;0,57;0,43;5,0;0,6;4,0;0,5;0,55;0,57;0,57;0,57;0,56
Canada Championships;Canada;14,0;14,0;3,5;0,49;0,2;0,64;1,8;2,07;1,43;0,59;0,79;0,21;4,0;1,0;0,0;0,0;0,5;0,79;0,67;0,79;0,79
Cyprus Division 3;Cyprus;14,0;14,0;2,5;0,54;0,15;1,21;1,16;1,86;0,64;0,74;0,5;0,5;3,0;0,67;0,0;0,0;0,33;0,5;0,5;0,5;0,5
